id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,'Wifes_now_working\%3F',Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
1,25.144473,4,3,4.099387,1,1,3,3,0,3
2,30.389743,3,3,2,1,1,3,1,0,1
3,19.494912,3,3,2,1,0,2,2,0,3
4,25.820437,3,3,3.750996,0,1,3,1,0,3
5,17.459191,3,3,0.454295,1,1,3,3,0,3
6,30.28136,4,4,3,1,1,1,3,0,2
7,45.809563,1,3,0.944616,1,0,3,4,1,1
8,42.814007,4,4,8.265419,1,0,2,2,0,2
9,23.539364,3,4,0.228848,1,1,3,4,0,1
10,26.765701,1,2,3,1,0,3,2,1,1
11,38.1422,4,4,2,1,1,2,3,0,1
12,30.763601,4,4,3.764363,1,1,2,3,0,2
13,45.240455,2,4,1.017687,0,1,3,4,0,1
14,19.347821,3,3,2,1,1,2,3,0,3
15,20.69486,3,4,1.548895,1,1,4,3,0,1
16,28.523278,3,3,4.833495,1,1,2,2,0,1
17,32.374901,1,4,3,1,1,1,4,1,3
18,26.235723,1,3,0.761191,1,1,2,1,1,1
19,25.055933,4,4,0.886126,0,1,3,4,0,1
20,28.849056,4,3,4.259318,1,1,2,3,0,3
21,34.594642,2,4,3,0,0,1,4,0,2
22,26.50639,4,4,2,0,1,1,4,0,3
23,30.303959,2,3,4.676399,1,1,2,3,0,3
24,36.074975,4,4,1.122496,0,0,2,3,0,1
25,34.613613,2,2,6.567256,1,1,3,1,0,2
26,23.189013,1,2,3,1,1,2,1,1,3
27,28.737418,4,4,3,0,0,1,4,0,2
28,35.404762,4,3,6.611742,0,1,2,1,0,2
29,33.968318,4,4,5.093486,0,1,2,4,0,1
30,43.858323,4,4,6.813515,1,1,2,4,0,3
31,27.047898,4,4,4.569482,1,1,3,4,0,3
32,35.22185,4,4,4.422847,1,1,3,3,0,3
33,30.959117,3,4,0.958848,1,1,3,3,0,1
34,25.979445,2,3,0.326275,1,0,3,4,0,1
35,32.645626,4,4,4.275943,0,1,3,3,0,1
36,36.596469,3,4,8.913466,1,0,2,1,1,1
37,23.290178,3,4,0.845446,1,1,1,1,0,1
38,27.669713,4,3,1.10333,0,1,2,2,0,1
39,25.777449,4,4,0.655714,1,1,3,1,0,1
40,31.363988,4,4,5.037819,1,1,3,4,0,2
41,46.71115,4,4,8.691773,0,0,3,3,0,3
42,36.432268,2,4,10.121744,1,1,4,1,0,1
