Kp,Ki,Kd,Tf,Class
4.001,3.9998,1.9999,0.01,0
5.0071,0.4999,1.9998,0.08,1
4.1012,0.8,1.9999,0.01,1
0.2387,3.985,0.0285,0.0289,0
0.2,4,0.0001,0.01,0
1.8015,0.2,0.9998,0.01,1
0.9912,0.11,0.1998,0.01,1
2.8888,0.9999,0.9986,0.03,0
5.4011,1.9999,1.9999,0.01,0
4.4115,1.7997,2.1988,0.02,0
4.4127,0.9998,2.1988,0.02,1
1.1004,1.0999,0.0015,0.0119,0
1,3.9997,0.9998,0.01,0
0.8,3.9997,0.1995,0.08,0
7.4017,0.18,1.0014,0.1102,1
1.0002,0.7999,0.9998,0.01,0
3.0013,0.1,0.0009,0.0071,0
3,0.1,0.001,0.01,0
1.4004,0.001,0.0002,0.0056,0
1.4,0.001,0.0001,0.01,0
0.8008,0.2,0.9993,0.02,0
0.8004,0.4999,2.9992,0.02,0
0.8001,2.9996,0.9992,0.038,0
2.6632,0.11,3.9991,0.02,0
1.4008,0.7999,2.0008,0.0801,0
1.4007,0.7999,1.0008,0.0801,0
2.0013,0.9999,0.9998,0.01,0
9.002,1.9998,0.9998,0.01,1
0.1548,1.1771,3.3431,0.001,0
0.4001,0.4999,0.4995,0.05,0
1.0005,0.2,0.8998,0.01,1
8.0358,3.9989,3.9954,0.04,1
1.0002,0.9999,0.9998,0.01,0
8.0175,3.9992,3.9979,0.08,1
4.0214,3.999,3.9966,0.04,0
7.0057,0.4999,0.4995,0.06,1
2.0019,0.4999,0.5011,0.1004,0
0.2218,0.1,5.0003,0.08,0
0.5043,0.1,4.9978,0.05,1
9.9999,0.5,4.0001,0.01,1
0.9999,0.2,3,0.01,1
0.499,0.1,5.0002,0.01,1
0.0998,0.1,4.0001,0.01,0
0.5001,0.5001,5.0001,0.01,0
0.7998,5.0006,5.0002,0.01,0
1.2001,4.9997,0.9998,0.01,0
1.2003,0.4001,5.0001,0.01,1
5.0115,0.4999,4.9988,0.02,1
5.0069,0.29,0.0991,0.0198,1
3.0069,0.29,0.0991,0.0198,1
2.0043,0.4999,0.0992,0.0198,0
2.0046,0.29,0.0992,0.0198,1
0.9004,0.3999,0.0494,0.0196,0
1.2011,0.3999,0.0493,0.0196,0
