Kp1,Ki1,Kd1,Tf1,Kp2,Ki2,Kd2,Tf2,Class
5.6391,1.3978,1.0443,0.013,5.8535,2.384,0.3748,0.0266,0
4.9693,1.0306,1.2646,0.0129,2.7868,3.9158,0.4294,0.0196,0
6.6425,1.3062,1.9191,0.0119,5.1583,1.6176,0.3659,0.0256,1
2.3592,0.9351,1.5237,0.0115,5.8887,1.1725,0.1781,0.0263,0
4.8803,0.3122,1.9178,0.0147,0.8074,1.6287,0.4818,0.0192,1
4.5597,1.4981,1.5612,0.0158,5.8338,0.7444,0.4162,0.0214,0
4.9081,0.1401,0.5452,0.0131,0.6071,3.938,0.5031,0.0224,0
5.6299,1.1068,0.7553,0.0119,5.8842,2.8493,0.1113,0.023,0
3.3347,0.1621,0.7694,0.0116,5.537,1.6384,0.4902,0.0209,0
8.0649,0.7182,1.5607,0.0144,8.9987,1.3346,0.1211,0.0136,1
7.2441,1.223,1.3139,0.011,3.3069,2.3636,0.3091,0.02,1
3.9941,0.3387,0.2775,0.0106,3.0332,0.6334,0.1996,0.017,1
6.732,0.56,1.9625,0.0116,3.0492,0.4863,0.3553,0.0205,1
2.2994,0.8401,0.3493,0.0118,0.8158,1.8785,0.4968,0.0203,0
6.7272,1.1748,1.2526,0.0102,6.8042,0.7047,0.1044,0.0172,1
0.6228,0.4945,0.8965,0.016,2.1687,0.6347,0.6515,0.0249,0
3.7909,0.8576,0.8988,0.0125,2.8606,2.6801,0.4845,0.0195,0
0.1511,0.1329,1.3016,0.0151,1.6361,0.9888,0.6168,0.0204,0
1.0,0.2,0.05,0.02,1.6375,1.0415,0.6041,0.0206,0
5.3664,0.1102,0.455,0.0109,5.4533,0.639,0.1769,0.0249,0
5.6762,0.2081,3.1151,0.0143,4.6001,3.1792,0.2895,0.0231,1
5.8171,1.5387,1.8316,0.0144,3.8928,3.2922,0.2511,0.0222,0
1.0,0.2,0.05,0.02,1.4701,0.5051,0.7024,0.019,0
4.6915,0.824,1.0939,0.0147,6.9019,1.1936,0.4433,0.0174,0
4.886,0.9904,2.1855,0.0104,0.6564,3.5305,0.2749,0.0178,1
6.2963,0.965,0.9166,0.0117,2.5067,1.4101,0.1114,0.0164,0
1.2744,0.4016,0.4144,0.0119,1.096,3.5825,0.3222,0.025,0
3.7676,0.6786,3.89,0.0103,1.2088,0.7711,0.1528,0.0178,0
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
4.8368,0.288,0.8435,0.013,1.7676,2.5412,0.428,0.023,1
3.676,0.2677,0.8557,0.0118,2.2449,1.2502,0.3506,0.0252,1
5.3069,1.133,1.2091,0.0113,1.4712,1.1224,0.3054,0.0226,0
5.5031,0.5351,3.075,0.016,0.862,2.6043,0.269,0.026,1
3.2417,1.7138,1.9697,0.0113,1.6936,2.1032,0.331,0.0188,0
4.5877,0.1362,3.5,0.0158,3.3005,3.3819,0.1314,0.02,0
6.9875,1.5239,1.1592,0.0106,1.7082,0.8723,0.1694,0.0227,0
3.5664,0.9743,2.0421,0.017,6.5577,2.0444,0.1139,0.0231,0
4.7926,2.0236,2.3953,0.0157,7.4433,2.1092,0.2614,0.0233,0
7.0014,0.2836,0.5051,0.0131,2.9284,0.5303,0.42,0.0139,1
7.3583,1.384,1.5934,0.0113,1.9286,2.4442,0.3368,0.0206,0
3.9151,0.1114,0.4628,0.0103,3.1746,3.6639,0.4758,0.0232,0
3.7832,1.3873,1.9613,0.0128,1.3424,2.0172,0.1684,0.0181,0
6.8687,0.8391,0.8378,0.0132,2.3668,0.6918,0.5536,0.0175,0
5.0568,1.2821,1.5577,0.0102,2.8199,1.3074,0.2353,0.0221,0
2.4605,0.3013,2.7549,0.0128,4.9371,0.4886,0.1878,0.019,1
1.9806,0.6288,0.1079,0.0158,1.5986,2.6487,0.4811,0.0135,0
2.7155,0.8562,0.6705,0.0155,6.0002,0.6033,0.3131,0.0178,0
8.4533,0.1358,1.727,0.0104,3.9855,2.8415,0.2635,0.02,0
7.6637,0.6889,1.6929,0.0114,4.3663,2.454,0.3238,0.025,1
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
0.9588,0.75,2.0126,0.0114,4.8068,1.2986,0.2294,0.0136,0
3.161,1.2393,0.3265,0.0128,1.8828,1.5212,0.1908,0.0172,0
4.4371,0.8291,0.5397,0.0127,2.1004,3.1252,0.5363,0.0213,0
5.7663,1.4292,1.2008,0.0111,4.328,3.4848,0.2128,0.0148,0
3.5087,0.6527,0.7228,0.0102,5.1345,0.4248,0.4339,0.0201,0
3.5554,2.9993,0.4884,0.0109,1.0883,0.9152,0.1254,0.021,0
1.6866,1.1051,0.818,0.0181,1.6829,2.6681,0.528,0.0196,0
1.2549,0.8449,0.5045,0.0129,2.6058,2.7357,0.5693,0.024,0
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
6.8354,0.2429,1.2344,0.0104,5.1005,1.093,0.2621,0.0208,1
3.9604,1.3342,1.3564,0.0127,7.3778,0.1841,0.3234,0.0208,0
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
8.5787,1.1673,1.2668,0.0134,3.381,2.1495,0.3075,0.0134,1
1.4305,0.2009,2.2349,0.0155,2.0635,2.3061,0.4252,0.0173,1
6.7099,0.2834,1.4101,0.0129,2.3193,3.0249,0.4078,0.019,1
4.2425,0.9178,2.1752,0.0109,0.6009,0.5582,0.5172,0.0214,0
4.8569,0.2254,0.6671,0.0112,2.7618,0.8174,0.5462,0.0276,1
0.9878,1.6934,0.6835,0.0108,3.9599,0.1728,0.1843,0.02,0
2.6592,0.1093,1.2616,0.0117,3.8119,1.459,0.3627,0.0148,0
4.2061,0.3304,2.7189,0.0119,5.5211,0.1555,0.4269,0.0203,1
4.8509,1.5286,1.1048,0.0126,6.0289,3.609,0.1505,0.0208,0
2.1152,0.4087,1.8991,0.0121,4.0605,3.6471,0.1436,0.0139,0
4.9025,0.8958,2.3664,0.011,1.1255,0.1207,0.5457,0.0223,0
6.1181,0.4385,1.466,0.012,2.8415,0.403,0.4769,0.0102,0
5.7092,0.6877,1.2187,0.0112,1.4974,2.2961,0.3157,0.0279,0
0.6928,0.1992,0.6705,0.0177,2.1066,0.3485,0.6509,0.024,0
0.957,0.2556,0.8912,0.0111,0.9704,1.6265,0.4847,0.0183,0
3.3302,0.8106,0.4969,0.0106,1.1321,1.5351,0.3342,0.0178,0
5.7765,0.1329,2.4442,0.0128,2.8825,1.8085,0.1336,0.016,0
6.3394,0.777,2.8165,0.0101,5.9458,2.4583,0.4219,0.0265,1
8.3411,0.4824,2.6112,0.0103,2.1896,2.0127,0.2258,0.0239,1
3.8331,1.1164,1.9042,0.0133,3.5396,2.9021,0.3683,0.0187,0
1.9173,0.3639,2.366,0.0104,4.3874,2.0348,0.2642,0.0152,1
5.4048,0.4554,0.9633,0.0148,0.9762,1.6446,0.6182,0.0186,0
0.7739,1.2448,2.8874,0.0127,5.8588,3.078,0.3709,0.0105,0
4.0771,1.0616,0.5524,0.0106,1.9726,1.2708,0.5632,0.0195,0
4.9989,0.625,1.1,0.01,3.6032,1.2019,0.4999,0.017,1
6.0113,0.6998,1.0986,0.01,3.6011,1.0994,0.5,0.018,1
4.6019,0.4999,1.0998,0.01,3.0017,0.9962,0.5,0.02,1
3.9992,0.5,1.1,0.01,3.4631,0.9913,0.4994,0.02,0
