Kp,Ki,Kd,Tf,Class
3.1482,0.9972,0.8332,0.0103,0
6.9694,2.3033,1.4389,0.0109,1
5.6416,1.6877,2.3524,0.0149,1
5.3076,1.6771,2.0257,0.0123,1
1.7955,1.0424,2.4363,0.0101,0
1.1039,2.2888,1.5238,0.0175,0
4.4082,1.8020,2.3218,0.0101,0
2.2941,0.5696,1.6818,0.0116,0
2.1433,1.2927,1.4066,0.0129,0
2.6872,0.9972,2.1240,0.0122,0
6.1992,0.7323,0.9787,0.0138,1
5.9519,0.6353,0.2323,0.0117,1
4.2210,2.5778,3.4785,0.0116,0
5.2642,1.1929,0.6770,0.0139,1
6.1676,0.4954,1.0014,0.0104,1
2.7486,1.4447,2.4870,0.0105,0
4.7655,1.8346,1.2189,0.0111,0
7.1967,1.5634,2.4925,0.0122,1
3.0448,0.1253,2.1665,0.0147,0
6.4293,0.7412,1.0825,0.0180,1
7.2204,0.2483,3.0173,0.0114,1
7.8444,2.1155,2.2305,0.0133,1
4.8976,0.7554,2.6343,0.0120,1
6.9798,0.2821,1.3388,0.0108,1
3.9327,0.5082,2.3301,0.0102,1
4.2703,1.2493,2.8132,0.0172,1
6.0850,1.0725,1.3444,0.0105,1
0.5921,0.9915,2.0742,0.0110,0
4.5539,1.2829,2.9219,0.0140,1
4.6305,1.7838,2.3777,0.0109,0
3.2271,0.6454,1.7554,0.0191,1
4.2426,0.9948,0.3271,0.0112,0
1.4912,1.1294,1.5065,0.0103,0
3.4590,0.7766,1.9045,0.0132,1
1.7545,0.4156,1.9277,0.0105,0
4.4391,1.3218,3.5585,0.0108,1
6.7071,0.5626,1.0900,0.0163,1
3.2885,0.6566,1.2976,0.0111,1
2.8586,0.6480,1.7131,0.0149,1
2.5076,0.2337,1.5528,0.0134,1
3.9268,0.9937,1.3406,0.0110,1
2.1258,1.0903,0.9340,0.0169,0
5.9865,1.9972,1.6713,0.0114,1
5.6977,0.1189,2.0789,0.0153,0
6.2557,0.5706,3.2661,0.0197,1
8.7991,1.4619,2.4847,0.0121,1
9.1448,1.1595,2.4293,0.0110,1
3.4158,0.9565,3.5200,0.0152,1
3.8586,1.4848,3.9437,0.0100,0
5.1509,1.9848,1.3681,0.0105,0
1.7743,1.7711,1.2811,0.0103,0
2.7477,0.6669,1.0774,0.0100,0
3.0276,2.1282,1.2787,0.0105,0
3.7009,1.6504,1.5542,0.0108,0
5.1388,0.7136,3.2969,0.0116,1
2.0679,1.6828,3.5073,0.0120,0
6.7287,2.8425,2.3614,0.0146,1
5.2709,1.2705,1.1170,0.0131,1
2.8526,1.5589,2.2492,0.0101,0
3.4254,0.4062,2.5018,0.0127,1
7.3690,1.8227,2.8901,0.0164,1
8.1948,1.2530,0.1656,0.0137,1
4.9841,0.7768,2.9707,0.0105,1
5.8421,1.4485,1.3215,0.0117,1
5.1148,0.7295,4.2338,0.0141,1
3.4806,2.1891,1.3840,0.0119,0
5.7669,1.5535,0.7640,0.0128,1
3.5991,1.2185,1.0802,0.0111,0
4.0791,1.2706,1.4388,0.0122,0
1.0865,1.8588,3.1756,0.0111,0
2.6395,1.4339,1.0431,0.0116,0
1.1850,1.4598,2.7545,0.0143,0
6.8707,1.2518,1.8002,0.0139,1
1.7963,0.7537,1.6359,0.0127,0
5.4845,0.3977,4.7890,0.0134,1
4.6897,0.9459,2.6937,0.0126,1
3.4271,1.1530,1.6231,0.0133,0
3.5700,1.4125,2.2039,0.0123,0
5.2744,0.1324,2.7431,0.0117,0
3.0568,1.4807,1.1505,0.0130,0
4.5186,0.7619,0.9972,0.0149,1
5.0916,1.5719,1.1028,0.0100,0
4.2307,1.0376,2.1550,0.0130,1
3.9278,0.8770,3.1398,0.0131,1
2.6023,0.9459,2.5800,0.0102,0
2.5515,1.0885,3.7156,0.0115,0
1.6814,0.1001,0.4656,0.0107,0
4.0872,0.3279,2.7014,0.0126,1
3.7768,1.4037,2.5869,0.0139,0
6.4105,0.8424,3.0512,0.0117,1
4.3553,0.8065,1.7279,0.0171,1
2.7284,0.8060,2.8278,0.0142,0
