Kp1,Ki1,Kd1,Tf1,Kp2,Ki2,Kd2,Tf2,Class
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
8.2981,1.1886,0.6781,0.0106,1.7884,0.4947,0.3621,0.0253,0
4.6468,1.2564,0.6011,0.0101,2.9009,2.5301,0.2279,0.0141,0
3.1402,0.3955,1.1148,0.0152,2.4429,1.5125,0.4472,0.0175,0
6.1114,0.1965,1.8062,0.0104,1.3835,1.1148,0.2965,0.0156,1
5.2863,0.2934,1.0094,0.0146,1.3335,1.9044,0.6171,0.0214,1
0.9829,0.3232,2.6756,0.0169,3.203,0.6091,0.1172,0.0167,0
3.3863,0.4432,1.179,0.016,4.9684,0.6088,0.474,0.0171,1
2.4233,0.3209,1.5065,0.0143,4.799,1.4995,0.294,0.0239,1
5.1601,1.8344,2.559,0.019,2.2282,1.2548,0.3118,0.0193,0
8.1186,1.0165,1.4201,0.0143,2.1918,3.6525,0.432,0.0187,1
4.3314,2.9621,1.9377,0.0127,2.4818,2.5095,0.3842,0.0205,0
2.0317,1.4919,2.5068,0.0112,2.6265,2.5568,0.2028,0.0172,0
2.6602,0.7789,1.9646,0.0132,5.5321,2.8562,0.303,0.0237,0
7.9268,0.4105,0.5375,0.014,8.1455,2.7259,0.3728,0.0232,1
6.1638,0.6319,1.7362,0.0183,1.5215,1.3584,0.2316,0.019,1
7.8858,0.2728,2.1615,0.0137,5.3413,2.775,0.2045,0.0259,1
1.9501,0.176,0.1225,0.0103,7.6758,0.5453,0.3757,0.0184,1
4.7874,1.9413,2.2988,0.0109,3.7583,1.47,0.4796,0.0187,0
7.7045,1.2336,1.6515,0.0132,1.4312,3.1692,0.49,0.0148,0
6.003,0.9079,0.7373,0.0112,5.3254,1.1463,0.4103,0.0208,1
3.7645,0.3031,0.2333,0.0106,4.0286,0.6247,0.4525,0.0233,1
3.5014,1.0075,0.3417,0.0138,6.834,2.9896,0.4551,0.0172,0
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
2.9548,1.149,0.6307,0.0153,5.7458,3.2555,0.404,0.0229,0
6.9578,0.7107,0.8137,0.0134,2.4337,0.2673,0.2157,0.0256,1
2.0622,0.6094,1.2065,0.0134,2.9847,0.514,0.3165,0.0185,0
3.5812,1.9313,1.042,0.0141,6.6498,2.9245,0.3373,0.0165,0
1.0,0.2,0.05,0.02,1.6379,1.0468,0.6008,0.0206,0
4.6903,2.1742,0.7856,0.011,1.2119,0.84,0.1283,0.0228,0
6.2579,0.8487,1.2889,0.0104,7.1186,1.7139,0.2582,0.0248,1
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
1.0,0.2,0.05,0.02,1.0,0.2,0.05,0.02,0
3.5341,0.7303,0.6599,0.0133,4.8086,2.154,0.1604,0.0189,0
1.1776,0.2526,1.0258,0.0105,2.5239,0.6005,0.1861,0.0229,0
1.8238,1.7799,0.8894,0.0136,1.2104,3.4414,0.1997,0.0178,0
7.7855,1.3218,0.9977,0.0123,2.8846,3.2984,0.4291,0.0188,0
4.9958,0.6249,1.1002,0.01,3.6002,1.1996,0.5,0.017,1
5.9989,0.6999,1.1002,0.01,3.6119,1.0927,0.4994,0.018,1
4.5918,0.4999,1.0995,0.01,3.0017,1.0008,0.4999,0.02,1
4.0038,0.5,1.1,0.01,3.4532,1.0016,0.4999,0.02,1
